"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Latest Traffic Source","hs_analytics_latest_source","enumeration","Source for the contact either directly or indirectly associated with the last session activity for this deal","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","true","true","true","false","false","true","HubSpot","Not applicable","","98.44%","",""
"Latest Traffic Source Data 1","hs_analytics_latest_source_data_1","string","Additional source details of the last session attributed to any contacts that are directly or indirectly associated with this deal","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","98.44%","",""
"Latest Traffic Source Data 2","hs_analytics_latest_source_data_2","string","Additional source details of the last session attributed to any contacts that are directly or indirectly associated with this deal","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","95.31%","",""
"Latest Traffic Source Timestamp","hs_analytics_latest_source_timestamp","datetime","Timestamp of when latest source occurred for either a directly or indirectly associated contact","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","98.44%","",""
"Original Traffic Source","hs_analytics_source","enumeration","Original source for the contact with the earliest activity for this deal.","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","false","true","false","false","false","true","HubSpot","Not applicable","","98.44%","",""
"Original Traffic Source Drill-Down 1","hs_analytics_source_data_1","string","Additional information about the original source for the associated contact, or associated company if there is no contact, with the oldest value for the Time first seen property.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","98.44%","",""
"Original Traffic Source Drill-Down 2","hs_analytics_source_data_2","string","Additional information about the original source for the associated contact, or associated company if there is no contact, with the oldest value for the Time first seen property.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","96.88%","",""
"Closed Lost Reason","closed_lost_reason","string","Reason why this deal was lost","deal_activity","false","","false","false","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Closed Won Reason","closed_won_reason","string","Reason why this deal was won","deal_activity","false","","false","false","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Deal Stage","dealstage","enumeration","The stage of the deal. Deal stages allow you to categorize and track the progress of the deals that you are working on.","deal_activity","false","","false","true","false","true","false","true","HubSpot","Not applicable","Workflows (3); Views (1)","100%","",""
